date,value,volume,start,close,name
8/7/2023,917,168707,921.56,917,GLMT
8/8/2023,899,20763,917,899,GLMT
8/9/2023,900.36,7002,899,900.36,GLMT
8/10/2023,901.98,1849,900.36,901.98,GLMT
8/11/2023,894.72,1212,901.98,894.72,GLMT
8/14/2023,878.86,7877,894.72,878.86,GLMT
8/15/2023,889.07,120659,878.86,889.07,GLMT
8/16/2023,886.05,6000,889.07,886.05,GLMT
8/17/2023,884.21,8719,886.05,884.21,GLMT
8/18/2023,895.6,16979,884.21,895.6,GLMT
8/21/2023,864.97,9248,895.6,864.97,GLMT
8/22/2023,865.46,8684,864.97,865.46,GLMT
8/23/2023,859.11,16075,865.46,859.11,GLMT
8/24/2023,859.73,5514,859.11,859.73,GLMT
8/25/2023,845.31,23768,859.73,845.31,GLMT
8/28/2023,836.77,19898,845.31,836.77,GLMT
8/29/2023,825.9,32080,836.77,825.9,GLMT
8/30/2023,834.55,28985,825.9,834.55,GLMT
8/31/2023,830,17037,834.55,830,GLMT
9/1/2023,833.55,21131,830,833.55,GLMT
9/4/2023,833.13,43676,833.55,833.13,GLMT
9/5/2023,848.45,7551,833.13,848.45,GLMT
9/6/2023,849.16,11721,848.45,849.16,GLMT
9/7/2023,846.85,5995,849.16,846.85,GLMT
9/11/2023,846.44,2761,846.85,846.44,GLMT
9/12/2023,840,9252,846.44,840,GLMT
9/13/2023,833.86,7494,840,833.86,GLMT
9/14/2023,834.5,4410,833.86,834.5,GLMT
9/15/2023,838.61,15387,834.5,838.61,GLMT
9/18/2023,835.1,4715,838.61,835.1,GLMT
9/19/2023,812.35,20001,835.1,812.35,GLMT
9/20/2023,821.99,109260,812.35,821.99,GLMT
9/21/2023,820.01,123276,821.99,820.01,GLMT
9/22/2023,821.99,109260,820.01,821.99,GLMT
9/25/2023,835.18,40344,821.99,835.18,GLMT
9/26/2023,837.1,10486,835.18,837.1,GLMT
9/27/2023,836.84,4876,837.1,836.84,GLMT
9/28/2023,838.5,12556,836.84,838.5,GLMT
9/29/2023,825,34347,838.5,825,GLMT
10/2/2023,835.88,10333,825,835.88,GLMT
10/3/2023,838.51,1824,835.88,838.51,GLMT
10/4/2023,839,9304,838.51,839,GLMT
10/5/2023,839,3971,839,839,GLMT
10/6/2023,839.02,1577,839,839.02,GLMT
10/9/2023,840,5557,839.02,840,GLMT
10/10/2023,850.64,8490,840,850.64,GLMT
10/11/2023,867.2,18769,850.64,867.2,GLMT
10/12/2023,897.55,8049,867.2,897.55,GLMT
10/13/2023,900,7086,897.55,900,GLMT
10/16/2023,915.9,4716,900,915.9,GLMT
10/17/2023,910.1,6944,915.9,910.1,GLMT
10/18/2023,901.38,33782,910.1,901.38,GLMT
10/19/2023,901.97,11926,901.38,901.97,GLMT
10/20/2023,900.55,8045,901.97,900.55,GLMT
10/23/2023,900.11,2845,900.55,900.11,GLMT
10/24/2023,900.44,5481,900.11,900.44,GLMT
10/25/2023,891.55,9358,900.44,891.55,GLMT
10/26/2023,900,6462,891.55,900,GLMT
10/27/2023,895.06,1587,900,895.06,GLMT
10/30/2023,896.97,10028,895.06,896.97,GLMT
10/31/2023,897.99,7862,896.97,897.99,GLMT
11/1/2023,895.45,8360,897.99,895.45,GLMT
11/2/2023,896.28,1720,895.45,896.28,GLMT
11/3/2023,897.73,7348,896.28,897.73,GLMT
11/6/2023,894.27,2342,897.73,894.27,GLMT
11/7/2023,894.04,3566,894.27,894.04,GLMT
11/8/2023,894,17345,894.04,894,GLMT
11/9/2023,888.96,5555,894,888.96,GLMT
6/2/2023,1133,15036,,,KHAN
6/5/2023,1130,158228,1133,1130,KHAN
6/6/2023,1119,12497,1130,1119,KHAN
6/7/2023,1120,31694,1119,1120,KHAN
6/8/2023,1121,33605,1120,1121,KHAN
6/9/2023,1122,8501,1121,1122,KHAN
6/12/2023,1122,39972,1122,1122,KHAN
6/13/2023,1121,29910,1122,1121,KHAN
6/14/2023,1123,94546,1121,1123,KHAN
6/15/2023,1144,58810,1123,1144,KHAN
6/16/2023,1163,84737,1144,1163,KHAN
6/19/2023,1132,9778,1163,1132,KHAN
6/20/2023,1130,15095,1132,1130,KHAN
6/21/2023,1136,28352,1130,1136,KHAN
6/22/2023,1122,42661,1136,1122,KHAN
6/23/2023,1134,30412,1122,1134,KHAN
6/26/2023,1124,45612,1134,1124,KHAN
6/27/2023,1114,23233,1124,1114,KHAN
6/28/2023,1120,25663,1114,1120,KHAN
6/29/2023,1120,19052,1120,1120,KHAN
6/30/2023,1120,42815,1120,1120,KHAN
7/3/2023,1119,29439,1120,1119,KHAN
7/4/2023,1119,23571,1119,1119,KHAN
7/5/2023,1136,84019,1119,1136,KHAN
7/6/2023,1126,9832,1136,1126,KHAN
7/7/2023,1126,4839,1126,1126,KHAN
7/17/2023,1117,14261,1126,1117,KHAN
7/18/2023,1115,20834,1117,1115,KHAN
7/19/2023,1103,14048,1115,1103,KHAN
7/20/2023,1108,23081,1103,1108,KHAN
7/21/2023,1107,10572,1108,1107,KHAN
7/24/2023,1107,8737,1107,1107,KHAN
7/25/2023,1107,12480,1107,1107,KHAN
7/26/2023,1107,8647,1107,1107,KHAN
7/27/2023,1108,24471,1107,1108,KHAN
7/28/2023,1110,5212,1108,1110,KHAN
7/31/2023,1108,6793,1110,1108,KHAN
8/1/2023,1106,26065,1108,1106,KHAN
8/2/2023,1106,9513,1106,1106,KHAN
8/3/2023,1105,37898,1106,1105,KHAN
8/4/2023,1100,43229,1105,1100,KHAN
8/7/2023,1100,12138,1100,1100,KHAN
8/8/2023,1097,21418,1100,1097,KHAN
8/9/2023,1095,8437,1097,1095,KHAN
8/10/2023,1091,7304,1095,1091,KHAN
8/11/2023,1076,19165,1091,1076,KHAN
8/14/2023,1055,15444,1076,1055,KHAN
8/15/2023,1059,21246,1055,1059,KHAN
8/16/2023,1051,25845,1059,1051,KHAN
8/17/2023,1049,31547,1051,1049,KHAN
8/18/2023,1044,10083,1049,1044,KHAN
8/21/2023,1013,60692,1044,1013,KHAN
8/22/2023,1021,11498,1013,1021,KHAN
8/23/2023,1049,61755,1021,1049,KHAN
8/24/2023,1017,6559,1049,1017,KHAN
8/25/2023,1012,37929,1017,1012,KHAN
8/28/2023,1010,22235,1012,1010,KHAN
8/29/2023,1014,34938,1010,1014,KHAN
8/30/2023,1049,11501,1014,1049,KHAN
8/31/2023,1043,10778,1049,1043,KHAN
9/1/2023,1050,25586,1043,1050,KHAN
9/4/2023,1084,19856,1050,1084,KHAN
9/5/2023,1076,8713,1084,1076,KHAN
9/6/2023,1088,28090,1076,1088,KHAN
9/7/2023,1071,11126,1088,1071,KHAN
9/11/2023,1063,30235,1071,1063,KHAN
9/12/2023,1050,79499,1063,1050,KHAN
9/13/2023,1044,8465,1050,1044,KHAN
9/14/2023,1042,15035,1044,1042,KHAN
9/15/2023,1032,9167,1042,1032,KHAN
9/18/2023,1029,28833,1032,1029,KHAN
9/19/2023,1030,24526,1029,1030,KHAN
9/20/2023,1031,158536,1030,1031,KHAN
9/21/2023,1035,5443,1031,1035,KHAN
9/22/2023,1031,158536,1035,1031,KHAN
9/25/2023,1073,18723,1031,1073,KHAN
9/26/2023,1074,13825,1073,1074,KHAN
9/27/2023,1069,8213,1074,1069,KHAN
9/28/2023,1079,45148,1069,1079,KHAN
9/29/2023,1107,57578,1079,1107,KHAN
10/2/2023,1083,13388,1107,1083,KHAN
10/3/2023,1081,2929,1083,1081,KHAN
10/4/2023,1077,9301,1081,1077,KHAN
10/5/2023,1070,6704,1077,1070,KHAN
10/6/2023,1062,9374,1070,1062,KHAN
10/9/2023,1072,6415,1062,1072,KHAN
10/10/2023,1085,19999,1072,1085,KHAN
10/11/2023,1067,15631,1085,1067,KHAN
10/12/2023,1065,7429,1067,1065,KHAN
10/13/2023,1067,4136,1065,1067,KHAN
10/16/2023,1062,10392,1067,1062,KHAN
10/17/2023,1074,8323,1062,1074,KHAN
10/18/2023,1073,5455,1074,1073,KHAN
10/20/2023,1083,12558,1073,1083,KHAN
10/23/2023,1087,24713,1083,1087,KHAN
10/24/2023,1088,20323,1087,1088,KHAN
10/25/2023,1088,20790,1088,1088,KHAN
10/26/2023,1090,23928,1088,1090,KHAN
10/27/2023,1088,17934,1090,1088,KHAN
10/30/2023,1083,22431,1088,1083,KHAN
10/31/2023,1082,23069,1083,1082,KHAN
11/1/2023,1065,36848,1082,1065,KHAN
11/2/2023,1064,14455,1065,1064,KHAN
11/3/2023,1066,10440,1064,1066,KHAN
11/6/2023,1060,47187,1066,1060,KHAN
11/7/2023,1063,20585,1060,1063,KHAN
11/8/2023,1059,34564,1063,1059,KHAN
11/9/2023,1064,254359,1059,1064,KHAN
